age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,salary
0.301369863,State-gov,0.0426159,Bachelors,0.203389831,Never-married,Adm-clerical,Not-in-family,White,Male,0.397959184,United-States,<=50K
0.452054795,Self-emp-not-inc,0.046558541,Bachelors,0.203389831,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.12244898,United-States,<=50K
0.287671233,Private,0.136592946,HS-grad,0.13559322,Divorced,Handlers-cleaners,Not-in-family,White,Male,0.397959184,United-States,<=50K
0.493150685,Private,0.149570664,11th,0.101694915,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0.397959184,United-States,<=50K
0.150684932,Private,0.22011502,Bachelors,0.203389831,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0.397959184,Cuba,<=50K
0.273972603,Private,0.183493704,Masters,0.220338983,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.397959184,United-States,<=50K
0.438356164,Others,0.098861295,9th,0.06779661,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0.153061224,Jamaica,<=50K
0.479452055,Self-emp-not-inc,0.132508111,HS-grad,0.13559322,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.448979592,United-States,>50K
0.191780822,Private,0.021024923,Masters,0.220338983,Never-married,Prof-specialty,Not-in-family,White,Female,0.5,United-States,>50K
0.342465753,Private,0.098359195,Bachelors,0.203389831,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.397959184,United-States,>50K
0.273972603,Private,0.180692013,Some-college,0.152542373,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.806122449,United-States,Others
0.178082192,State-gov,0.086009442,Bachelors,0.203389831,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0.397959184,India,>50K
0.082191781,Private,0.073065742,Bachelors,0.203389831,Never-married,Adm-clerical,Own-child,White,Female,0.295918367,United-States,<=50K
0.205479452,Private,0.129362843,Assoc-acdm,0.186440678,Never-married,Sales,Not-in-family,Black,Male,0.5,United-States,Others
0.232876712,Private,0.156895335,7th-8th,0.050847458,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0.448979592,Mexico,<=50K
0.205479452,Private,0.116983836,HS-grad,0.13559322,Never-married,Machine-op-inspct,Unmarried,White,Male,0.397959184,United-States,<=50K
0.287671233,Private,0.009531054,11th,0.101694915,Married-civ-spouse,Sales,Husband,White,Male,0.5,United-States,<=50K
0.356164384,Self-emp-not-inc,0.188659618,Masters,0.220338983,Divorced,Exec-managerial,Unmarried,White,Female,0.448979592,United-States,>50K
0.315068493,Private,0.121542195,Doctorate,0.254237288,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.602040816,United-States,>50K
0.506849315,Private,0.195443409,HS-grad,0.13559322,Separated,Other-service,Unmarried,Black,Female,0.193877551,United-States,<=50K
0.246575342,Federal-gov,0.042159383,9th,0.06779661,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0.397959184,United-States,<=50K
0.356164384,Private,0.069504098,11th,0.101694915,Married-civ-spouse,Transport-moving,Husband,White,Male,0.397959184,United-States,<=50K
0.534246575,Local-gov,0.13741277,Bachelors,0.203389831,Married-civ-spouse,Tech-support,Husband,White,Male,0.397959184,United-States,>50K
0.02739726,Others,0.10437691,HS-grad,0.13559322,Never-married,Others,Own-child,White,Male,0.397959184,United-States,<=50K
0.301369863,Private,0.239743861,HS-grad,0.13559322,Divorced,Exec-managerial,Not-in-family,White,Male,0.806122449,United-States,<=50K
0.438356164,Private,0.121434699,HS-grad,0.13559322,Married-civ-spouse,Craft-repair,Husband,White,Male,0.397959184,United-States,<=50K
0.082191781,Others,0.119627004,Assoc-acdm,0.186440678,Never-married,Others,Not-in-family,White,Male,0.520408163,United-States,<=50K
0.04109589,Private,0.170861605,Some-college,0.152542373,Never-married,Sales,Own-child,Black,Male,0.43877551,United-States,<=50K
0.383561644,Private,0.253133192,Bachelors,0.203389831,Divorced,Exec-managerial,Own-child,White,Male,0.397959184,United-States,<=50K
0.068493151,State-gov,0.201815588,Some-college,0.152542373,Married-civ-spouse,Other-service,Husband,Black,Male,0.142857143,United-States,<=50K
0.424657534,Private,0.15479917,11th,0.101694915,Never-married,Machine-op-inspct,Unmarried,White,Male,0.397959184,Puerto-Rico,<=50K
0.054794521,Private,0.12404317,Some-college,0.152542373,Never-married,Machine-op-inspct,Own-child,White,Male,0.397959184,United-States,<=50K
